"Estudo
","Pais_Estudo
","Sistema_Producao
","Status_Metabolico
","Sexo_Animal
","Peso_Corporal_kg
","Consumo_MS_kg
","Fracao_Perda_A
","Fracao_Perda_B
","Modelo
","MAPE
","Unnamed: 12
","Espacial
","Ambiental
","Características Animal
"
Estudo_BG,Terra do Galo,Confinamento,Terminação,Novilho,417.0,6.74,0.01616306954,0.0161630695443645,Modelo_2,0.168668665667166,NaN,NaN,NaN,NaN
Estudo_BG,Terra do Galo,Confinamento,Terminação,Novilho,417.0,6.74,0.01616306954,0.0161630695443645,Modelo_3,0.0512203898050974,NaN,NaN,NaN,NaN
Estudo_BG,Terra do Galo,Confinamento,Terminação,Novilho,417.0,6.74,0.01616306954,0.0161630695443645,Modelo_4,0.0610194902548725,NaN,NaN,NaN,NaN
Estudo_BG,Terra do Galo,Confinamento,Terminação,Novilho,417.0,6.74,0.01616306954,0.0161630695443645,Modelo_5,0.0379820089955023,NaN,NaN,NaN,NaN
Estudo_F,Península Matina,Confinamento,Crescimento,Boi,178.0,3.881,0.02180337079,0.0218033707865169,Modelo_1,0.12962676962677,NaN,NaN,NaN,NaN
Estudo_F,Península Matina,Confinamento,Crescimento,Boi,178.0,3.881,0.02180337079,0.0218033707865169,Modelo_2,0.0762514800514801,NaN,NaN,NaN,NaN
Estudo_F,Península Matina,Confinamento,Crescimento,Boi,178.0,3.881,0.02180337079,0.0218033707865169,Modelo_3,0.251196396396396,NaN,NaN,NaN,NaN
Estudo_F,Península Matina,Confinamento,Crescimento,Boi,178.0,3.881,0.02180337079,0.0218033707865169,Modelo_4,0.0489189189189189,NaN,NaN,NaN,NaN
Estudo_F,Península Matina,Confinamento,Crescimento,Boi,178.0,3.881,0.02180337079,0.0218033707865169,Modelo_5,0.00631891891891902,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.86,0.02018587361,0.020185873605948,Modelo_1,0.0471111111111111,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.86,0.02018587361,0.020185873605948,Modelo_2,0.165531111111111,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.86,0.02018587361,0.020185873605948,Modelo_3,0.0355333333333333,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.86,0.02018587361,0.020185873605948,Modelo_4,0.179466666666667,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.86,0.02018587361,0.020185873605948,Modelo_5,0.0190177777777778,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.98,0.02040892193,0.0204089219330855,Modelo_1,0.366446886446886,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.98,0.02040892193,0.0204089219330855,Modelo_2,0.445607326007326,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.98,0.02040892193,0.0204089219330855,Modelo_3,0.299721611721612,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.98,0.02040892193,0.0204089219330855,Modelo_4,0.155384615384615,NaN,NaN,NaN,NaN
Estudo_CB,Ilha Verdejante,Confinamento,Terminação,Boi,538.0,10.98,0.02040892193,0.0204089219330855,Modelo_5,0.291103296703297,NaN,NaN,NaN,NaN
Estudo_Z,Campo Rico,Confinamento,Crescimento,Boi,215.0,5.82,0.02706976744,0.0270697674418605,Modelo_1,0.666516584121267,NaN,NaN,NaN,NaN
Estudo_Z,Campo Rico,Confinamento,Crescimento,Boi,215.0,5.82,0.02706976744,0.0270697674418605,Modelo_2,0.532684976737205,NaN,NaN,NaN,NaN
Estudo_Z,Campo Rico,Confinamento,Crescimento,Boi,215.0,5.82,0.02706976744,0.0270697674418605,Modelo_3,0.846975836710191,NaN,NaN,NaN,NaN
Estudo_Z,Campo Rico,Confinamento,Crescimento,Boi,215.0,5.82,0.02706976744,0.0270697674418605,Modelo_4,0.834308869878433,NaN,NaN,NaN,NaN
Estudo_Z,Campo Rico,Confinamento,Crescimento,Boi,215.0,5.82,0.02706976744,0.0270697674418605,Modelo_5,0.546600630346691,NaN,NaN,NaN,NaN
Estudo_BB,Terra Nortenha,Confinamento,Crescimento,Touro,328.0,7.5,0.02286585366,0.0228658536585366,Modelo_1,0.13112582781457,NaN,NaN,NaN,NaN
Estudo_BB,Terra Nortenha,Confinamento,Crescimento,Touro,328.0,7.5,0.02286585366,0.0228658536585366,Modelo_2,0.217549668874172,NaN,NaN,NaN,NaN
Estudo_BB,Terra Nortenha,Confinamento,Crescimento,Touro,328.0,7.5,0.02286585366,0.0228658536585366,Modelo_3,0.0759602649006622,NaN,NaN,NaN,NaN
Estudo_BB,Terra Nortenha,Confinamento,Crescimento,Touro,328.0,7.5,0.02286585366,0.0228658536585366,Modelo_4,0.043046357615894,NaN,NaN,NaN,NaN
Estudo_BB,Terra Nortenha,Confinamento,Crescimento,Touro,328.0,7.5,0.02286585366,0.0228658536585366,Modelo_5,0.154180132450331,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.89,0.01406122449,0.0140612244897959,Modelo_1,0.0201373326410701,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.89,0.01406122449,0.0140612244897959,Modelo_2,0.111490463819591,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.89,0.01406122449,0.0140612244897959,Modelo_3,0.0160237761445677,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.89,0.01406122449,0.0140612244897959,Modelo_4,0.144465041493087,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.89,0.01406122449,0.0140612244897959,Modelo_5,0.0599799661271885,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.71,0.01369387755,0.0136938775510204,Modelo_1,0.104251259435092,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.71,0.01369387755,0.0136938775510204,Modelo_2,0.185985756329261,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.71,0.01369387755,0.0136938775510204,Modelo_3,0.0700962392682353,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.71,0.01369387755,0.0136938775510204,Modelo_4,0.0369697258708604,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.71,0.01369387755,0.0136938775510204,Modelo_5,0.0267349943688223,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.46,0.01318367347,0.0131836734693878,Modelo_1,0.118488247064557,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.46,0.01318367347,0.0131836734693878,Modelo_2,0.0196444861742058,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.46,0.01318367347,0.0131836734693878,Modelo_3,0.164767205683413,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.46,0.01318367347,0.0131836734693878,Modelo_4,0.278083857789571,NaN,NaN,NaN,NaN
Estudo_T,Arquipélago Oriente,Confinamento,Crescimento,Boi,490.0,6.46,0.01318367347,0.0131836734693878,Modelo_5,0.22462215456524,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.81,0.01858649789,0.0185864978902954,Modelo_1,0.245248124935786,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.81,0.01858649789,0.0185864978902954,Modelo_2,0.328843111065447,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.81,0.01858649789,0.0185864978902954,Modelo_3,0.139937532107264,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.81,0.01858649789,0.0185864978902954,Modelo_4,0.0495736155347786,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.81,0.01858649789,0.0185864978902954,Modelo_5,0.140032261378814,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.66,0.01827004219,0.0182700421940928,Modelo_1,0.288522821983625,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.66,0.01827004219,0.0182700421940928,Modelo_2,0.366493111732118,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.66,0.01827004219,0.0182700421940928,Modelo_3,0.18635402265039,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.66,0.01827004219,0.0182700421940928,Modelo_4,0.108398293866745,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.66,0.01827004219,0.0182700421940928,Modelo_5,0.185109623964308,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.67,0.01829113924,0.0182911392405063,Modelo_1,0.394757678043089,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.67,0.01829113924,0.0182911392405063,Modelo_2,0.461133475017711,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.67,0.01829113924,0.0182911392405063,Modelo_3,0.309960036671251,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.67,0.01829113924,0.0182911392405063,Modelo_4,0.241280160020003,NaN,NaN,NaN,NaN
Estudo_W,Ilha Verdejante,Confinamento,Crescimento,Novilha,474.0,8.67,0.01829113924,0.0182911392405063,Modelo_5,0.308930157936409,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,7.27,0.01573593074,0.0157359307359307,Modelo_1,0.0419201702895376,NaN,NaN,NaN,NaN
