mae,rmse,r2,mape,modelo,protocolo,fold,n,top1,top1_sempre_campeao
0.16524162578617002,0.24741171708953283,-0.19246018984833002,3.348539079718858,baseline_mediana_modelo,GroupKFold,gkf1,225,0.15555555555555556,0.15555555555555556
0.16749891673204553,0.24814503095624946,-0.19953943014300357,3.4480524960118966,ols_(fracao),GroupKFold,gkf1,225,0.1111111111111111,0.15555555555555556
0.1686395943025108,0.24837854665150794,-0.20179813410844116,3.3695887537169145,ols_(sexo),GroupKFold,gkf1,225,0.1111111111111111,0.15555555555555556
0.16751178138607853,0.2505445742466092,-0.22285050331335232,3.3003732361424127,ols_(modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16798234299045856,0.24646046840642175,-0.18330827441234598,3.422641881571711,ols_(status_sexo),GroupKFold,gkf1,225,0.1111111111111111,0.15555555555555556
0.16680190793105143,0.24888858337363856,-0.20673890324093946,3.2645109529505323,ols_(status_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16724147011470974,0.2481890367613653,-0.19996491824373108,3.245063379505392,ols_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.165952515457554,0.24629626142420535,-0.18173201553166707,3.2925025038671927,ols_(status_sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16811773696555873,0.24749811115334452,-0.19329312912912577,3.2987155842479514,ols_(peso)_(sexo),GroupKFold,gkf1,225,0.1111111111111111,0.15555555555555556
0.16746261954099076,0.25047079742363304,-0.2221304339020196,3.2926608754539455,ols_(peso)_(modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16789242720648526,0.24633497268239823,-0.1821035187608293,3.4138265475707037,ols_(peso)_(status_sexo),GroupKFold,gkf1,225,0.1111111111111111,0.15555555555555556
0.16683442022701336,0.2489279606306458,-0.2071207755330544,3.2684745279340515,ols_(peso)_(status_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16665910374994808,0.24730639571894023,-0.19144516265927347,3.1745598451947394,ols_(peso)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16775330319840723,0.24727908666652057,-0.19118204417558604,3.4375897393457904,spl_(peso)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16587108830254635,0.2461704536727383,-0.18052507007191876,3.283813582411672,ols_(peso)_(status_sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16742823100854518,0.2502674773771651,-0.2201471067781311,3.416454029313071,ols_(consumo)_(modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16659208787682908,0.2483700056769463,-0.20171548324388588,3.3338509220270494,ols_(consumo)_(status_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.1675113968014665,0.24826057547417185,-0.20065678053334568,3.374827494110908,ols_(consumo)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.1660382550389312,0.24621418369863143,-0.18094452721165366,3.3692311090099762,ols_(consumo)_(status_sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16652539288262175,0.24400190212312448,-0.1598178438802682,3.3575496882594034,ols_(fracao)_(sexo),GroupKFold,gkf1,225,0.1111111111111111,0.15555555555555556
0.16602919414607817,0.24801228921238402,-0.19825641942529582,3.3158568533142603,ols_(fracao)_(modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16634912160218276,0.24311968032950915,-0.15144605021127733,3.409479355293774,ols_(fracao)_(status_sexo),GroupKFold,gkf1,225,0.1111111111111111,0.15555555555555556
0.16534341370188885,0.2465129980583743,-0.183812739865586,3.2505728905230975,ols_(fracao)_(status_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16503165999876845,0.24385069504818863,-0.15838081963405504,3.2303477162321035,ols_(fracao)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16443476430021026,0.24298459744523127,-0.1501668658823041,3.278312786514139,ols_(fracao)_(status_sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16672536473694197,0.2490660621049555,-0.20846053183123092,3.34787697507919,ols_(peso_consumo)_(modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16593463755841262,0.24748445988931447,-0.19316149571792884,3.274457142034894,ols_(peso_consumo)_(status_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16603314253429863,0.24564264249247234,-0.17546819718842133,3.233437076941773,ols_(peso_consumo)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16597277146346634,0.24435441370044442,-0.16317146160146168,3.523185673317688,spl_(peso_consumo)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16529336432411507,0.24495282327894147,-0.16887551441434945,3.2979709224898692,ols_(peso_consumo)_(status_sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16623094478593115,0.248305909478145,-0.20109531612317832,3.391816678443486,ols_(peso_fracao)_(modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.1656212057744219,0.24678040319757052,-0.1863824161586849,3.3222038083369374,ols_(peso_fracao)_(status_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16524198820492986,0.2442351481841468,-0.16203628759114164,3.282132669054953,ols_(peso_fracao)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16487991947020272,0.24370780845711978,-0.15702368925307852,3.356054570738961,ols_(peso_fracao)_(status_sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16630785989907856,0.24840106978441948,-0.20201610370973122,3.3685244672674237,ols_(consumo_fracao)_(modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16561592943277612,0.24689529826587123,-0.18748737601928767,3.2918023835174512,ols_(consumo_fracao)_(status_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
0.16515837850001214,0.24408629908740861,-0.16062031331073134,3.249813557484902,ols_(consumo_fracao)_(sexo_modelo),GroupKFold,gkf1,225,0.4222222222222222,0.15555555555555556
