"Sexo_Animal","Modelo","n","media","mediana"
"Boi","Modelo_4",136,0.248664021464065,0.148327381358826
"Novilha","Modelo_4",22,0.172286963658944,0.159497607655502
"Novilho","Modelo_5",44,0.172539428498994,0.123887020470885
"Não especificado","Modelo_3",4,0.148601771334134,0.1460986328125
"Touro","Modelo_4",4,0.0814884865774727,0.0406817548597269
"Vaca","Modelo_4",13,0.140052031604802,0.05
