protocolo,modelo,n_boot,agrupamento,mape,mape_ic95_inf,mape_ic95_sup,mae,mae_ic95_inf,mae_ic95_sup,rmse,rmse_ic95_inf,rmse_ic95_sup
GroupKFold,baseline_mediana_modelo,1000,Estudo,2.9604452881986965,2.0978522160804167,3.953087824451749,0.13987253431696817,0.12236194833168695,0.16429894767764303,0.19834818542297944,0.16531910407013609,0.23652976639395273
GroupKFold,ols_(fracao)_(sexo_modelo),1000,Estudo,2.5812910186694062,1.8511843128732843,3.4658646370212667,0.14054503044488412,0.11988056652637974,0.1619467055809788,0.202857450989964,0.16747140853750792,0.2372390611586783
GroupKFold,ols_(sexo_modelo),1000,Estudo,2.5801060822620805,1.8699894003339885,3.3306468587475746,0.14065420070833953,0.1212820335364396,0.16462269478532376,0.2039528609436949,0.17080237589354044,0.24073477216690445
GroupKFold,ols_(fracao)_(modelo),1000,Estudo,2.6294170275665016,1.9136155149116756,3.4541734359326766,0.14069934581273882,0.12206870264362284,0.16430188555072206,0.20394844840831738,0.1706409527496129,0.24056579049332624
GroupKFold,ols_(modelo),1000,Estudo,2.6283822015752247,1.9177609346336852,3.467916706201016,0.1412122323575537,0.1211575033716586,0.16466798433324112,0.2046861360605866,0.1691382116962511,0.2412659433333961
GroupKFold,ols_(sexo),1000,Estudo,2.6632573772333563,1.8410064882719224,3.5025619551983076,0.1417782236507369,0.12319994498253184,0.16619565006156697,0.20394627377784258,0.17155119431325122,0.24063051655531528
GroupKFold,ols_(peso)_(sexo_modelo),1000,Estudo,2.6398550560223493,1.7923514960187945,3.5721227775235884,0.14178141010989737,0.12230653205103195,0.1650343884274273,0.20391156055980375,0.16935311163246092,0.23800811505324368
GroupKFold,ols_(consumo_fracao)_(sexo_modelo),1000,Estudo,2.661351056647512,1.877981624009723,3.6722451041359285,0.1418718085460792,0.12358431860766964,0.16372493345217165,0.20376979135636455,0.17113504882163294,0.2384813508559481
GroupKFold,ols_(status_sexo_modelo),1000,Estudo,2.63063265132116,1.8530740371300436,3.4915791958926294,0.14284287527920805,0.12375507504363267,0.16673640647459462,0.20449805985756125,0.16949514718140027,0.2406550529965446
GroupKFold,ols_(peso)_(status_sexo_modelo),1000,Estudo,2.648782244341711,1.9125550661159336,3.543527045526138,0.14316930486225926,0.12491369609102786,0.16498527300277982,0.20438834622976668,0.17308132890602745,0.23960752096303897
GroupKFold,ols_(fracao)_(status_sexo_modelo),1000,Estudo,2.6489232557135574,1.843616524088522,3.626256864070542,0.14336933080029626,0.12498735832977123,0.16533417959074936,0.20417527425799545,0.17030171893998663,0.23841423155845698
GroupKFold,ols_(consumo)_(pais_status_sexo_modelo),1000,Estudo,2.923550963584869,1.978803068701566,3.9949392915899966,0.15510952229611027,0.13540961237268148,0.1770837068420416,0.21614014173149432,0.18264158691340254,0.2508421211492866
GroupKFold,ols_(consumo_fracao)_(pais_status_sexo_modelo),1000,Estudo,2.9560494389042717,1.97776570690747,4.009299700136703,0.15566863318752389,0.13450185996446237,0.18015798963661842,0.21681481631621105,0.18057432750012686,0.25458541663483514
