"MAPE_boxcox","Peso_Corporal_kg","Consumo_MS_kg","Fracao_Perda_A","Fracao_Perda_B","variavel"
1,-0.0580740876515271,0.0302543776313045,0.0988891009396418,0.098889100936482,"MAPE_boxcox"
-0.0580740876515271,1,0.526101702602496,-0.452751180384834,-0.452751180385304,"Peso_Corporal_kg"
0.0302543776313045,0.526101702602496,1,0.457184390390023,0.457184390387152,"Consumo_MS_kg"
0.0988891009396418,-0.452751180384834,0.457184390390023,1,1,"Fracao_Perda_A"
0.098889100936482,-0.452751180385304,0.457184390387152,1,1,"Fracao_Perda_B"
