"Status_Metabolico","Modelo","n","media","mediana"
"Crescimento","Modelo_3",113,0.242367984307899,0.157813131313131
"Crescimento e Terminação","Modelo_3",8,0.0747531017673073,0.0656525347105587
"Maturo","Modelo_3",17,0.140546389044062,0.134564809016907
"Terminação","Modelo_4",85,0.209546426374002,0.142133723709369
