"ID_Observacao","Estudo","Pais_Estudo","Status_Metabolico","Sexo_Animal","Peso_Corporal_kg","Consumo_MS_kg","Fracao_Perda_A","Modelo","MAPE","MAPE_log","MAPE_boxcox"
10,"Estudo_F","Península Matina","Crescimento","Boi",178,3.881,0.02180337079,"Modelo_2",0.0762514800514801,-2.57371845317178,-1.79321805701781
10,"Estudo_F","Península Matina","Crescimento","Boi",178,3.881,0.02180337079,"Modelo_3",0.251196396396396,-1.38152019004674,-1.13100144708168
10,"Estudo_F","Península Matina","Crescimento","Boi",178,3.881,0.02180337079,"Modelo_4",0.0489189189189189,-3.01759106736649,-1.98523428994326
10,"Estudo_F","Península Matina","Crescimento","Boi",178,3.881,0.02180337079,"Modelo_5",0.00631891891891902,-5.06420714258838,-2.60375558450158
12,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.86,0.02018587361,"Modelo_1",0.0471111111111111,-3.0552464010864,-2.0003775311436
12,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.86,0.02018587361,"Modelo_2",0.165531111111111,-1.79859611928705,-1.39002087741804
12,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.86,0.02018587361,"Modelo_3",0.0355333333333333,-3.3372840559185,-2.10852105809467
12,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.86,0.02018587361,"Modelo_4",0.179466666666667,-1.71776578931973,-1.3423213027831
12,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.86,0.02018587361,"Modelo_5",0.0190177777777778,-3.96238106476974,-2.31795784340865
13,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.98,0.02040892193,"Modelo_1",0.366446886446886,-1.00390168917554,-0.866828015845592
13,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.98,0.02040892193,"Modelo_2",0.445607326007326,-0.80831714973373,-0.717774809356185
13,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.98,0.02040892193,"Modelo_3",0.299721611721612,-1.20490119607618,-1.01116251555856
13,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.98,0.02040892193,"Modelo_4",0.155384615384615,-1.86185184604843,-1.42655086406138
13,"Estudo_CB","Ilha Verdejante","Terminação","Boi",538,10.98,0.02040892193,"Modelo_5",0.291103296703297,-1.23407710330913,-1.0313992546863
17,"Estudo_Z","Campo Rico","Crescimento","Boi",215,5.82,0.02706976744,"Modelo_1",0.666516584121267,-0.405690257270434,-0.381974377879694
17,"Estudo_Z","Campo Rico","Crescimento","Boi",215,5.82,0.02706976744,"Modelo_2",0.532684976737205,-0.629825067564614,-0.57390016717485
17,"Estudo_Z","Campo Rico","Crescimento","Boi",215,5.82,0.02706976744,"Modelo_3",0.846975836710191,-0.166083112824158,-0.16201344281996
17,"Estudo_Z","Campo Rico","Crescimento","Boi",215,5.82,0.02706976744,"Modelo_4",0.834308869878433,-0.181151597609068,-0.176317183761568
17,"Estudo_Z","Campo Rico","Crescimento","Boi",215,5.82,0.02706976744,"Modelo_5",0.546600630346691,-0.604036852274983,-0.552469116816306
19,"Estudo_BB","Terra Nortenha","Crescimento","Touro",328,7.5,0.02286585366,"Modelo_1",0.13112582781457,-2.03159789911443,-1.52122057455393
19,"Estudo_BB","Terra Nortenha","Crescimento","Touro",328,7.5,0.02286585366,"Modelo_2",0.217549668874172,-1.52532809188431,-1.22399486384428
19,"Estudo_BB","Terra Nortenha","Crescimento","Touro",328,7.5,0.02286585366,"Modelo_3",0.0759602649006622,-2.57754490567365,-1.7949849960432
19,"Estudo_BB","Terra Nortenha","Crescimento","Touro",328,7.5,0.02286585366,"Modelo_4",0.043046357615894,-3.14547765991333,-2.03597582955153
19,"Estudo_BB","Terra Nortenha","Crescimento","Touro",328,7.5,0.02286585366,"Modelo_5",0.154180132450331,-1.86963366888841,-1.43099714502744
20,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.89,0.01406122449,"Modelo_1",0.0201373326410701,-3.90517984132326,-2.30038326549593
20,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.89,0.01406122449,"Modelo_2",0.111490463819591,-2.19381621802124,-1.60729648929822
20,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.89,0.01406122449,"Modelo_3",0.0160237761445677,-4.13368165072571,-2.36882006582644
20,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.89,0.01406122449,"Modelo_4",0.144465041493087,-1.93471772808228,-1.46778040420201
20,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.89,0.01406122449,"Modelo_5",0.0599799661271885,-2.81374467039654,-1.90021975733347
21,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.71,0.01369387755,"Modelo_1",0.104251259435092,-2.26095133746405,-1.64171205884201
21,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.71,0.01369387755,"Modelo_2",0.185985756329261,-1.68208518707619,-1.32089467763972
21,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.71,0.01369387755,"Modelo_3",0.0700962392682353,-2.65788613448006,-1.83161957127427
21,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.71,0.01369387755,"Modelo_4",0.0369697258708604,-3.29765592096884,-2.09387305180242
21,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.71,0.01369387755,"Modelo_5",0.0267349943688223,-3.62178192121089,-2.2087211751195
22,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.46,0.01318367347,"Modelo_1",0.118488247064557,-2.13294150421552,-1.5754852991874
22,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.46,0.01318367347,"Modelo_2",0.0196444861742058,-3.92995858186451,-2.30803335684072
22,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.46,0.01318367347,"Modelo_3",0.164767205683413,-1.80322167594831,-1.39271567780544
22,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.46,0.01318367347,"Modelo_4",0.278083857789571,-1.27983256405265,-1.06278119398471
22,"Estudo_T","Arquipélago Oriente","Crescimento","Boi",490,6.46,0.01318367347,"Modelo_5",0.22462215456524,-1.49333560144784,-1.20365250233543
23,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.81,0.01858649789,"Modelo_1",0.245248124935786,-1.40548482608766,-1.14677809152463
23,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.81,0.01858649789,"Modelo_2",0.328843111065447,-1.11217450801602,-0.945657467072122
23,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.81,0.01858649789,"Modelo_3",0.139937532107264,-1.96655915518316,-1.48551612004181
23,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.81,0.01858649789,"Modelo_4",0.0495736155347786,-3.00429653164745,-1.9798468482889
23,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.81,0.01858649789,"Modelo_5",0.140032261378814,-1.96588244449959,-1.48514095066607
24,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.66,0.01827004219,"Modelo_1",0.288522821983625,-1.24298109050019,-1.03753996697674
24,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.66,0.01827004219,"Modelo_2",0.366493111732118,-1.00377555256024,-0.866734679089917
24,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.66,0.01827004219,"Modelo_3",0.18635402265039,-1.68010706675704,-1.31970006947422
24,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.66,0.01827004219,"Modelo_4",0.108398293866745,-2.22194292933712,-1.6217995368021
24,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.66,0.01827004219,"Modelo_5",0.185109623964308,-1.6868070674301,-1.32374340782442
25,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.67,0.01829113924,"Modelo_1",0.394757678043089,-0.929483175641396,-0.811142627386425
25,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.67,0.01829113924,"Modelo_2",0.461133475017711,-0.774067744231292,-0.690761873104444
25,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.67,0.01829113924,"Modelo_3",0.309960036671251,-1.17131190377677,-0.987644197707502
