"Modelo","n","media","mediana","desvio"
"Modelo_4",223,-1.35418453167913,-1.37295215054501,0.57998791810134
"Modelo_3",223,-1.31901765590487,-1.34428182344127,0.53675358864123
"Modelo_5",223,-1.33444216056293,-1.29001348041784,0.497893983540189
"Modelo_1",223,-1.25547254074753,-1.18027800859087,0.50182172235264
"Modelo_2",223,-1.23867101514686,-1.16556412793669,0.449454215164125
